Time,Product name,PID,robotMAC,Store,Start running time,unbound,Operating time (h),Running mileage (km),Number of tasks
2023-02-22,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-22 08:22:28,false,1.13,1.03,31
2023-02-22,bellabot,sv1114223233003,20:50:E7:39:7C:16,Soft-Stend,2023-02-22 07:20:04,false,1.17,1.38,59
2023-02-22,bellabot,SV1000214017034,20:50:E7:02:BE:0C,Soft-servis,2023-02-22 12:14:23,false,0.26,0.39,1
2023-02-22,bellabot,Sv1000214017008,20:50:E7:23:83:6A,Parmesan,2023-02-22 12:57:42,false,1.54,1.01,85
2023-02-22,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-22 10:50:34,false,0.66,0.65,25
2023-02-22,bellabot,SV1001205116386,D4:12:43:BF:63:8E,Firemakers,2023-02-22 10:37:24,false,1.88,2.08,145
2023-02-22,kettybot,PNT102213716170,20:50:E7:02:F3:3E,Neo,2023-02-22 10:58:29,false,0.53,0.35,43
2023-02-22,bellabot,SV1000214017015,20:50:E7:02:E4:50,Fun Jump,2023-02-22 11:35:33,false,1.91,2.06,61
2023-02-22,bellabot,SV1000213954003,20:50:E7:02:87:DA,Soft-servis,2023-02-22 00:18:35,false,0.19,0.16,9
2023-02-22,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-02-22 04:05:29,false,9.41,0.00,4
2023-02-22,bellabot,SV1114223233001,10:2C:6B:97:C7:FE,Soft-Stend,2023-02-22 15:11:09,false,1.31,0.38,61
2023-02-22,bellabot,SV1000212910001,20:50:E7:23:3D:AA,Soft-servis,2023-02-22 06:34:11,false,0.93,0.85,85
2023-02-22,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-22 11:56:26,false,0.56,0.59,34
2023-02-22,kettybot,PNT102213716165,20:50:E7:02:36:E0,Soft-servis,2023-02-22 14:34:52,false,0.92,0.50,39
2023-02-22,bellabot,sv1000214017014,20:50:E7:02:EB:0A,Фанджамп Екатеринбург,2023-02-22 13:05:22,false,1.41,1.42,25
2023-02-22,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-22 00:10:47,false,0.32,0.25,13
2023-02-22,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-02-22 09:29:02,false,0.02,0.02,5
2023-02-22,bellabot,620015050070163,D4:12:43:B1:02:2C,Gastreet_panorama,2023-02-22 01:38:35,false,1.86,2.00,39
2023-02-22,bellabot,SV1000214017031,20:50:E7:03:06:3A,Jango Park,2023-02-22 15:03:49,false,0.44,0.40,16
2023-02-22,bellabot,SV111422323005,20:50:E7:40:1B:AA,Soft-Stend,2023-02-22 14:26:26,false,1.06,0.57,81
2023-02-22,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-22 08:58:03,false,0.53,0.40,23
2023-02-22,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-22 18:29:25,false,0.01,0.02,1
2023-02-22,bellabot,SV1000212652005,20:50:E7:23:B4:80,Sber Univercity,2023-02-21 20:35:11,false,3.91,0.24,14
2023-02-22,kettybot,PNT102213716164,20:50:E7:23:69:5C,Parmesan,2023-02-22 16:01:20,false,0.48,0.43,39
2023-02-22,bellabot,SV1000214017033,20:50:E7:02:FD:36,Soft-servis,2023-02-22 07:26:34,false,2.06,3.12,7
2023-02-22,bellabot,SV1114223233002,20:50:E7:02:C0:F2,Soft-servis,2023-02-22 05:29:17,false,2.01,2.26,51
2023-02-22,bellabot,SV1000213954014,20:50:E7:23:71:74,Ресторан ГрильХаус,2023-02-22 12:09:43,false,0.34,0.29,21
2023-02-22,bellabot,SV1000211931010,D4:12:43:B0:E7:9A,Velich,2023-02-22 08:14:30,false,0.26,0.30,17
2023-02-22,bellabot,sv1000214017022,20:50:E7:02:EB:56,Компот,2023-02-22 07:57:13,false,1.55,1.34,113
2023-02-21,bellabot,SV1000214017001,20:50:E7:02:7F:10,Динозаврия,2023-02-21 08:37:53,false,0.87,0.73,29
2023-02-21,pudubot,PD9152213661013,20:50:E7:02:D2:28,Санаторий Заполярье,2023-02-21 10:06:14,false,0.40,0.06,1
2023-02-21,kettybot,PNT102213716158,20:50:E7:02:12:A8,Baltiya Hotel,2023-02-21 01:12:30,false,10.29,0.01,8
2023-02-21,bellabot,SV1000214017013,20:50:E7:02:BF:E8,АРТ-Премиум,2023-02-21 12:22:54,false,0.12,0.08,6
2023-02-21,kettybot,PNT102213716165,20:50:E7:02:36:E0,Soft-servis,2023-02-21 17:29:43,false,0.00,0.00,1
2023-02-21,bellabot,620019270070278,20:50:E7:02:FD:68,Perchini,2023-02-21 08:38:35,false,0.86,0.94,46
2023-02-21,bellabot,SV1000212910013,20:50:E7:23:79:E8,Flagman office,2023-02-21 13:20:35,false,0.16,0.13,7
2023-02-21,bellabot,SV1000211931012,D4:12:43:B0:D5:68,Gastreet_panorama,2023-02-21 00:27:32,false,0.04,0.07,2
2023-02-21,bellabot,sv1000213943015,20:50:E7:23:95:7C,Fun Jump Kazan,2023-02-21 11:08:23,false,0.36,0.33,15
